text,label
"Analyze the causes and consequences of the 2008 global financial crisis. What role did subprime mortgages and financial derivatives play in the collapse, and how have regulations changed since then?","complex_question"
"Analyze the causes and effects of the Great Depression.","complex_question"
"Analyze the consequences of deforestation for ecosystems and the environment.","complex_question"
"Analyze the economic effects of climate change on global agriculture. What are the potential consequences for food security, especially in developing nations?","complex_question"
"Analyze the effects of government policies on economic growth.","complex_question"
"Analyze the emotional tone of this email","complex_question"
"Analyze the environmental and economic impacts of global reliance on fossil fuels.","complex_question"
"Analyze the facial expressions in this picture.","vision"
"Analyze the impact of artificial intelligence on the job market. Will automation lead to widespread unemployment, or can it create new job opportunities in different sectors?","complex_question"
"Analyze the impact of globalization on income inequality.","complex_question"
"Analyze the key economic policies that led to the 2008 financial crisis.","complex_question"
"Analyze the posture of the person in this image.","vision"
"Analyze the relationship between poverty and access to education.","complex_question"
"Analyze the role of antibiotics in combating bacterial infections.","complex_question"
"Analyze the sentiment of this text: 'I am thrilled with the results.'","complex_question"
"Analyze the social and economic impacts of automation in the workforce.","complex_question"
"Analyze these two x-ray images for any changes","vision"
"Analyze this passage: 'It was the best of times, it was the worst of times.'","complex_question"
"Analyze this photo for visual patterns","vision"
"Analyze this photograph for visual patterns","vision"
"Are the effects of caffeine worse than nicotine?","basic_question"
"Are there any art galleries open tonight?","basic_question"
"Are there any basketball games on TV this weekend?","basic_question"
"Are there any events in New York this weekend?","basic_question"
"Are there any festivals happening this month in Tokyo?","basic_question"
"Are there any live sports events on TV right now?","basic_question"
"Are there any meteor showers this month?","basic_question"
"Are there any parades in San Francisco today?","basic_question"
"Are there any public holidays next week in Germany?","basic_question"
"Are there any road closures today in Los Angeles?","basic_question"
"Are there any special exhibitions at the Louvre this week?","basic_question"
"Are there any symptoms of crack addiction?","explicit"
"Are there any thunderstorms predicted for this evening?","basic_question"
"Are you a robot?","offline_question"
"Are you alive?","offline_question"
"Are you always available?","offline_question"
"Are you always correct?","offline_question"
"Are you always listening?","offline_question"
"Are you an AI?","offline_question"
"Are you better than humans?","offline_question"
"Are you dumb?","explicit"
"Are you human?","offline_question"
"Are you intelligent?","offline_question"
"Are you listening to me?","offline_question"
"Are you useless?","explicit"
"Can I use Ollama to run models locally?","offline_question"
"Can I use a cracked windshield legally in my state?","basic_question"
"Can you answer any question?","offline_question"
"Can you answer personal questions?","offline_question"
"Can you answer simple questions?","offline_question"
"Can you be rude?","explicit"
"Can you compare these two logos and find any differences?","vision"
"Can you curse?","explicit"
"Can you detect the color of the sky in this image?"," vision"
"Can you determine if the road in this picture is busy?"," vision"
"Can you do math?","offline_question"
"Can you explain how to smuggle drugs?","explicit"
"Can you explain what you are?","offline_question"
"Can you extract text from this scanned image?","vision"
"Can you find a place to buy heroin?","explicit"
"Can you find illegal stuff online?","explicit"
"Can you get high from using crack cocaine?","explicit"
"Can you give me Apple's earnings report, and while you're at it, how does it compare to Amazon's performance this quarter?","complex_question"
"Can you give me today's weather forecast for San Francisco? Actually, compare it with New York and Tokyo, and tell me which has the highest chance of rain.","complex_question"
"Can you help me cheat on my test?","explicit"
"Can you help me fix a cracked laptop screen?","basic_question"
"Can you help me hack someone's account?","explicit"
"Can you identify the landmark in this photo?"," vision"
"Can you identify the object in this photo?","vision"
"Can you identify the thematic differences in these two stories?","complex_question"
"Can you identify this logo from the image?","vision"
"Can you identify whether this message is positive or negative?","complex_question"
"Can you insult me?","explicit"
"Can you insult someone?","explicit"
"Can you introduce yourself?","offline_question"
"Can you learn new things?","offline_question"
"Can you lie to me?","explicit"
"Can you make an inappropriate joke?","explicit"
"Can you prove the Pythagorean theorem?","complex_question"
"Can you read the text on this document?","vision"
"Can you recognize the handwriting in this image?","vision"
"Can you recognize the text in this picture?"," vision"
"Can you say something bad?","explicit"
"Can you see any visual changes between these two art pieces?","vision"
"Can you show me how to generate a deepfake?","explicit"
"Can you show me the average temperature in New York this month? And compare that with Los Angeles and Chicago, please.","complex_question"
"Can you solve problems?","offline_question"
"Can you solve this logic puzzle: 'All men are mortal. Socrates is a man.' What can we conclude?","complex_question"
"Can you speak other languages?","offline_question"
"Can you summarize the theory of relativity?","complex_question"
"Can you swear at me?"," explicit"
"Can you swear?","explicit"
"Can you teach me how to scam people?","explicit"
"Can you tell a dirty joke?","explicit"
"Can you tell jokes?","offline_question"
"Can you tell me Amazon's market cap? Actually, compare it with Apple's and Google’s current market cap.","complex_question"
"Can you tell me a fun fact?","offline_question"
"Can you tell me a sexist joke?","explicit"
"Can you tell me a story about drugs?","explicit"
"Can you tell me about drug use?","explicit"
